V(V): 0.0005	Step NA->	0	0
Time(s):	Sweep V(V):	Ch1 I(A):	Ch1 I(A):
2.625600E+1	3.297000E+0	2.187300E-13	-1.535300E-13
2.634200E+1	3.298000E+0	2.166200E-13	-1.808700E-13
2.642800E+1	3.299000E+0	2.292400E-13	-1.219800E-13
2.651400E+1	3.300000E+0	2.145200E-13	-1.356500E-13
2.660000E+1	3.301000E+0	2.061100E-13	-1.282900E-13
2.669000E+1	3.302000E+0	2.124200E-13	-1.240900E-13
2.677600E+1	3.303000E+0	1.892800E-13	-1.598400E-13
2.686500E+1	3.304000E+0	1.756100E-13	-1.934900E-13
2.696000E+1	3.305000E+0	2.313500E-13	-1.114700E-13
2.705100E+1	3.306000E+0	2.208300E-13	-1.409100E-13
2.713800E+1	3.307000E+0	1.998000E-13	-1.808700E-13
2.722500E+1	3.308000E+0	2.250400E-13	-1.472200E-13
2.731200E+1	3.309000E+0	2.082100E-13	-1.240900E-13
2.739900E+1	3.310000E+0	2.019000E-13	-1.388100E-13
2.748600E+1	3.311000E+0	1.892800E-13	-1.829700E-13
2.757200E+1	3.312000E+0	2.313500E-13	-1.240900E-13
2.765800E+1	3.313000E+0	2.019000E-13	-1.304000E-13
2.774400E+1	3.314000E+0	1.850800E-13	-1.577400E-13
2.783000E+1	3.315000E+0	2.523800E-13	-1.093600E-13
2.792000E+1	3.316000E+0	2.145200E-13	-1.230300E-13
2.800600E+1	3.317000E+0	2.292400E-13	-1.335500E-13
2.809200E+1	3.318000E+0	2.628900E-13	-9.885000E-14
2.818300E+1	3.319000E+0	2.208300E-13	-9.254000E-14
2.827000E+1	3.320000E+0	2.019000E-13	-1.062100E-13
2.835700E+1	3.321000E+0	2.965400E-13	-4.837000E-14
2.844300E+1	3.322000E+0	2.565800E-13	-6.099000E-14
2.852900E+1	3.323000E+0	2.565800E-13	-1.083100E-13
2.861500E+1	3.324000E+0	2.965400E-13	-4.837000E-14
2.870100E+1	3.325000E+0	2.881300E-13	-5.678000E-14
2.879600E+1	3.326000E+0	2.797200E-13	-5.468000E-14
2.888100E+1	3.327000E+0	3.533300E-13	1.367000E-14
2.896700E+1	3.328000E+0	3.323000E-13	5.573000E-14
2.905300E+1	3.329000E+0	3.259900E-13	6.415000E-14
2.913900E+1	3.330000E+0	3.575300E-13	4.101000E-14
2.922700E+1	3.331000E+0	4.521800E-13	8.938000E-14
2.932700E+1	3.332000E+0	4.164200E-13	1.293400E-13
2.941400E+1	3.333000E+0	4.900300E-13	1.272400E-13
2.950100E+1	3.334000E+0	5.531300E-13	1.903300E-13
2.958700E+1	3.335000E+0	5.867800E-13	2.071600E-13
2.967400E+1	3.336000E+0	5.678500E-13	2.471200E-13
2.977500E+1	3.337000E+0	6.793200E-13	4.069600E-13
2.987900E+1	3.338000E+0	6.856300E-13	4.889800E-13
2.996600E+1	3.339000E+0	7.739600E-13	6.109600E-13
3.005200E+1	3.340000E+0	9.338000E-13	8.591401E-13
3.013800E+1	3.341000E+0	1.046320E-12	1.028440E-12
3.022400E+1	3.342000E+0	1.096790E-12	1.295540E-12
